Region,Famille Professionnelle,Code FAP
Pays de la Loire,Techniciens et chargés d'études du bâtiment et des travaux publics,B6Z71
Provence-Alpes-Côte d'Azur,Agents de maîtrise et assimilés des industries de process,E2Z80
Provence-Alpes-Côte d'Azur,Autres professionnels para-médicaux,V3Z80
Provence-Alpes-Côte d'Azur,Cadres techniques de la maintenance et de l'environnement,H0Z91
Provence-Alpes-Côte d'Azur,Charpentiers (bois),B2Z43
Provence-Alpes-Côte d'Azur,Chaudronniers; tôliers; traceurs; serruriers; métalliers; forgerons,D2Z40
Provence-Alpes-Côte d'Azur,Chefs de chantier; conducteurs de travaux (non cadres),B6Z73
Provence-Alpes-Côte d'Azur,Conducteurs routiers,J3Z43
Provence-Alpes-Côte d'Azur,Dessinateurs en électricité et en électronique,C2Z71
Provence-Alpes-Côte d'Azur,Dessinateurs en mécanique et travail des métaux,D6Z71
Provence-Alpes-Côte d'Azur,Géomètres,B6Z70
Provence-Alpes-Côte d'Azur,Ingénieurs du bâtiment et des travaux publics; chefs de chantier et conducteurs de travaux (cadres),B7Z91
Provence-Alpes-Côte d'Azur,Ingénieurs et cadres de la logistique; du planning et de l'ordonnancement,J6Z92
Provence-Alpes-Côte d'Azur,Ingénieurs et cadres des télécommunications,M2Z92
Provence-Alpes-Côte d'Azur,Ingénieurs et cadres d'étude; recherche et développement (industrie),N0Z90
Provence-Alpes-Côte d'Azur,Ingénieurs et cadres d'étude; recherche et développement en informatique; chefs de projets informatiques,M2Z90
Provence-Alpes-Côte d'Azur,Ingénieurs; cadres techniques de l'agriculture,A2Z90
Provence-Alpes-Côte d'Azur,Ouvriers qualifiés de la maintenance en mécanique,G0A40
Provence-Alpes-Côte d'Azur,Ouvriers qualifiés du travail du bois et de l'ameublement,F3Z41
Provence-Alpes-Côte d'Azur,Ouvriers qualifiés travaillant par enlèvement de métal,D1Z41
Provence-Alpes-Côte d'Azur,Techniciens des assurances,Q1Z81
Provence-Alpes-Côte d'Azur,Techniciens des services comptables et financiers,L4Z81
Provence-Alpes-Côte d'Azur,Techniciens en électricité et en électronique,C2Z70
Provence-Alpes-Côte d'Azur,Techniciens en mécanique et travail des métaux,D6Z70
Provence-Alpes-Côte d'Azur,Techniciens et agents de maîtrise de la maintenance et de l'environnement,G1Z70
Provence-Alpes-Côte d'Azur,Techniciens et chargés d'études du bâtiment et des travaux publics,B6Z71
Provence-Alpes-Côte d'Azur,Techniciens médicaux et préparateurs,V3Z70
