DEPCOM_ARM,LIBCOM_DEP,LIBCOM,nb_loues,nb_vacants,nb_vides,nb_asso,nb_occup_finan,nb_occup_temp,nb_ls
74229,Saint-Cergues (74),Saint-Cergues,114,0,0,0,1,0,115
74231,Saint-Eusèbe (74),Saint-Eusèbe,,,,,,,8
74233,Saint-Félix (74),Saint-Félix,161,2,0,1,0,0,164
74235,Saint-Germain-sur-Rhône (74),Saint-Germain-sur-Rhône,13,0,0,0,0,0,13
74236,Saint-Gervais-les-Bains (74),Saint-Gervais-les-Bains,253,15,2,1,3,1,275
74237,Saint-Gingolph (74),Saint-Gingolph,18,0,0,0,1,0,19
74238,Saint-Jean-d'Aulps (74),Saint-Jean-d'Aulps,33,1,0,0,0,0,34
74239,Saint-Jean-de-Sixt (74),Saint-Jean-de-Sixt,31,0,0,0,0,0,31
74240,Saint-Jean-de-Tholome (74),Saint-Jean-de-Tholome,10,1,1,0,0,0,12
74241,Saint-Jeoire (74),Saint-Jeoire,180,4,5,1,1,0,191
74242,Saint-Jorioz (74),Saint-Jorioz,371,2,1,1,5,0,380
74243,Saint-Julien-en-Genevois (74),Saint-Julien-en-Genevois,1428,15,7,32,9,0,1491
74244,Saint-Laurent (74),Saint-Laurent,,,,,,,7
74249,Saint-Paul-en-Chablais (74),Saint-Paul-en-Chablais,43,1,0,0,0,0,44
74250,Saint-Pierre-en-Faucigny (74),Saint-Pierre-en-Faucigny,470,6,5,0,5,0,486
74252,Saint-Sigismond (74),Saint-Sigismond,,,,,,,7
74253,Saint-Sixt (74),Saint-Sixt,31,0,0,2,1,0,34
74255,Sales (74),Sales,25,0,0,0,0,0,25
74256,Sallanches (74),Sallanches,1023,23,8,14,12,0,1080
74257,Sallenôves (74),Sallenôves,14,0,0,0,0,0,14
74258,Samoëns (74),Samoëns,95,2,0,0,0,0,97
74259,Le Sappey (74),Le Sappey,,,,,,,4
74260,Savigny (74),Savigny,34,0,0,0,0,0,34
74261,Saxel (74),Saxel,15,1,0,0,1,0,17
74262,Scientrier (74),Scientrier,26,0,0,0,0,0,26
74263,Sciez (74),Sciez,375,2,3,8,3,0,391
74264,Scionzier (74),Scionzier,660,8,25,2,88,0,783
74265,Serraval (74),Serraval,,,,,,,4
74266,Servoz (74),Servoz,23,0,0,0,0,0,23
74267,Sevrier (74),Sevrier,218,1,1,0,0,0,220
74269,Seyssel (74),Seyssel,105,4,32,0,0,0,141
74271,Seytroux (74),Seytroux,,,,,,,4
74272,Sillingy (74),Sillingy,312,2,9,0,1,0,324
74273,Sixt-Fer-à-Cheval (74),Sixt-Fer-à-Cheval,20,1,0,0,0,0,21
74275,Talloires-Montmin (74),Talloires-Montmin,39,0,0,0,0,0,39
74276,Taninges (74),Taninges,118,2,2,0,1,0,123
74278,Thyez (74),Thyez,504,1,6,0,9,0,520
74279,Thollon-les-Mémises (74),Thollon-les-Mémises,,,,,,,8
74280,Thônes (74),Thônes,261,0,0,8,1,0,270
74281,Thonon-les-Bains (74),Thonon-les-Bains,4039,62,100,21,41,0,4263
74282,Fillière (74),Fillière,206,2,1,0,1,0,210
74283,Thusy (74),Thusy,11,0,0,0,0,0,11
74284,La Tour (74),La Tour,28,0,0,0,0,0,28
74285,Usinens (74),Usinens,14,0,0,0,0,0,14
74286,Vacheresse (74),Vacheresse,21,0,0,0,0,0,21
74287,Vailly (74),Vailly,30,2,0,0,0,0,32
74288,Valleiry (74),Valleiry,328,5,2,1,10,0,346
74289,Vallières-sur-Fier (74),Vallières-sur-Fier,48,0,0,0,1,0,49
74290,Vallorcine (74),Vallorcine,,,,,,,7
74293,Veigy-Foncenex (74),Veigy-Foncenex,193,0,0,1,3,0,197
74294,Verchaix (74),Verchaix,16,1,0,0,1,0,18
74295,La Vernaz (74),La Vernaz,,,,,,,8
74296,Vers (74),Vers,11,1,0,0,0,0,12
74297,Versonnex (74),Versonnex,,,,,,,6
74298,Vétraz-Monthoux (74),Vétraz-Monthoux,879,7,1,3,3,0,893
74299,Veyrier-du-Lac (74),Veyrier-du-Lac,10,0,0,3,0,0,13
74301,Villard (74),Villard,,,,,,,6
